,country,egis_product,manufacturer,product,product_id,pack,pack_size,reimb_categ,reimbursment_per_unit,tablet_price_base,tablet_amount_base,product_units_base,lc_value_base,tablet_price_0p,tablet_amount_0p,product_units_0p,lc_value_0p,tablet_price_5p,tablet_amount_5p,product_units_5p,lc_value_5p,tablet_price_10p,tablet_amount_10p,product_units_10p,lc_value_10p,lc_value_w_reimb_0p,lc_value_w_reimb_5p,lc_value_w_reimb_10p,lc_value_abs_diff_5p,lc_value_perc_diff_5p,lc_value_abs_diff_10p,lc_value_perc_diff_10p
0,HU,VENLAFAXINE-B (default),MEDICO UNO,FAXIPROL,HU2491,F.TABS RETAR 75MG 30,30,Molecule fix,141.75,14.175,1107210,36907,15694702,14.175,1067671,35589,15134238,14.884,1067671,35589,15890950,15.593,1067671,35589,16647662,20178978.75,20935690.75,21692402.75,756712.0,3.75000147120924,1513424.0,7.50000294241848
0,HU,ROSUVASTATIN-A (default),TEVA,ROZUVA-TEVA,HU3303,FILM TABS 30MG 30,30,Therapy fix,2233.35,18.585,413370,13779,7682481,18.585,435005,14500,8084571,19.514,452587,15086,8831901,20.443,460986,15366,9424166,40468146.0,42524219.1,43741822.1,2056073.1000000015,5.080719783901149,3273676.1000000015,8.089513416305262
0,HU,ROSUVASTATIN-A (default),GEDEON RICHTER,XETER,HU3305,FILM TABS 30MG 30,30,Therapy fix,2365.65,19.705,1257540,41918,24779826,19.705,1298402,43280,25585020,20.69,1325692,44190,27428905,21.676,1352465,45082,29315363,127970352.0,131966978.5,135963596.3,3996626.5,3.123087838345557,7993244.300000012,6.246168878241432
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU3107,FILM TABS 20MG 90,90,Therapy fix,3997.35,11.095,1131300,12570,12551774,11.095,906390,10071,10056394,11.65,910369,10115,10605574,12.204,910369,10115,11110602,50313705.85,51038769.25,51543797.25,725063.3999999985,1.44108526245637,1230091.3999999985,2.4448435654238305
0,HU,ROSUVASTATIN-A (default),TEVA,ROZUVA-TEVA,HU3072,FILM TABS 20MG 30,30,Therapy fix,1770.3,18.13,7260360,242012,131630327,18.13,7358749,245292,133414123,19.036,2899020,96634,55187201,19.943,2899020,96634,57815163,567654550.5999999,226258371.2,228886333.2,-341396179.3999999,-60.14153837737243,-338768217.3999999,-59.67858745110534
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU3401,FILM TABS 40MG 30,30,Therapy fix,2815.05,37.695,426060,14202,16060332,37.695,436849,14562,16467041,39.58,433490,14450,17157425,41.464,433490,14450,17974445,57459799.1,57834897.5,58651917.5,375098.3999999985,0.6528014470555267,1192118.3999999985,2.0746999096277703
0,HU,ROSUVASTATIN-A (default),GEDEON RICHTER,XETER,HU3080,FILM TABS 20MG 30,30,Therapy fix,1770.3,23.415,17676510,589217,413895482,23.415,19050382,635013,446064698,24.586,19204215,640140,472150021,25.757,18575637,619188,478443402,1570228211.8999999,1605389863.0,1574591918.3999999,35161651.10000014,2.239270115867681,4363706.5,0.27790269382052746
0,HU,ROSUVASTATIN-A (default),SANDOZ,ROSUVASTATIN SANDO,HU3070,FILM TABS 20MG 30,30,Therapy fix,1770.3,18.165,14732190,491073,267610231,18.165,16140104,538003,293184988,19.073,16152320,538411,308077242,19.982,16193633,539788,323573072,1245611698.9,1261226235.3,1279159768.4,15614536.399999857,1.253563724055342,33548069.5,2.693300771791587
0,HU,ROSUVASTATIN-A (default),EGIS,DELIPID,HU3024,FILM TABS 20MG 28,28,Therapy fix,1651.65,24.6,664916,23747,16356934,24.6,654057,23359,16089812,25.83,654057,23359,16894302,27.06,653279,23331,17677740,54670704.35,55475194.35,56212386.15,804490.0,1.4715193622706635,1541681.799999997,2.819941353106048
0,HU,ROSUVASTATIN-A (default),SANDOZ,ROSUVASTATIN SANDO,HU3095,FILM TABS 20MG 60,60,Therapy fix,3539.55,17.622,2175180,36253,38332110,17.622,2229619,37160,39291462,18.504,2273669,37894,42071126,19.385,2297664,38294,44539650,170821140.0,176198833.7,180083177.70000002,5377693.699999988,3.1481429640382848,9262037.700000018,5.422067608259738
0,HU,ROSUVASTATIN-A (default),SANDOZ,ROSUVASTATIN SANDO,HU2774,FILM TABS 10MG 30,30,Molecule fix,800.1,10.92,11670090,389003,127437383,10.92,12213423,407114,133370585,11.466,12213423,407114,140039114,12.012,12213423,407114,146707643,459102496.40000004,465771025.40000004,472439554.40000004,6668529.0,1.4525142102886635,13337058.0,2.905028420577327
0,HU,ROSUVASTATIN-A (default),SANDOZ,ROSUVASTATIN SANDO,HU3400,FILM TABS 40MG 30,30,Therapy fix,2815.05,31.885,3826170,127539,121997430,31.885,4011546,133718,127908140,33.479,4011546,133718,134303547,35.073,3942983,131433,138294228,504330995.90000004,510726402.90000004,508284694.65000004,6395407.0,1.2680971528603204,3953698.75,0.7839491885571016
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU2775,FILM TABS 10MG 30,30,Molecule fix,800.1,11.62,2077590,69253,24141596,11.62,2227057,74235,25878401,12.201,2227057,74235,27172322,12.782,2227057,74235,28466242,85273824.5,86567745.5,87861665.5,1293921.0,1.5173718401711886,2587841.0,3.0347425076495775
0,HU,ROSUVASTATIN-A (default),TEVA,ROZUVA-TEVA,HU2902,FILM TABS 15MG 30,30,Therapy fix,1159.2,9.66,767760,25592,7416562,9.66,1029671,34322,9946621,10.143,1058050,35268,10731797,10.626,1062193,35406,11286860,49732683.4,51614462.6,52329495.2,1881779.200000003,3.78378778572001,2596811.8000000045,5.221539684705621
0,HU,ROSUVASTATIN-A (default),TEVA,ROZUVA-TEVA,HU2776,FILM TABS 10MG 30,30,Molecule fix,800.1,8.925,7756680,258556,69228369,8.925,7972181,265739,71151713,9.371,7103493,236783,66568605,9.818,7103493,236783,69738538,283769486.9,256018683.3,259188616.3,-27750803.599999964,-9.7793472804845,-24580870.599999964,-8.662266993019667
0,HU,ROSUVASTATIN-A (default),ZENTIVA,ROSUCARD,HU3068,FILM TABS 20MG 30,30,Therapy fix,1331.4,11.095,331860,11062,3681987,11.095,389361,12979,4319966,11.65,399426,13314,4653215,12.205,399426,13314,4874796,21600206.6,22379474.6,22601055.6,779268.0,3.6076877153573146,1000849.0,4.633515866463981
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU3302,FILM TABS 30MG 30,30,Therapy fix,2655.45,25.48,2937030,97901,74835524,25.48,2974500,99150,75790268,26.754,2970014,99000,79459752,28.028,2970014,99000,83243550,339078135.5,342349302.0,346133100.0,3271166.5,0.9647235128199529,7054964.5,2.0806309111016095
0,HU,ROSUVASTATIN-A (default),APOTEX,ROSUTEC,HU3399,FILM TABS 40MG 30,30,Therapy fix,2815.05,29.855,485130,16171,14483556,29.855,458717,15291,13694988,31.348,458717,15291,14379737,32.84,458717,15291,15064486,56739917.550000004,57424666.550000004,58109415.550000004,684749.0,1.2068205763545385,1369498.0,2.413641152709077
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU2812,FILM TABS 10MG 90,90,Molecule fix,2110.5,5.857,1084140,12046,6349447,5.857,950354,10559,5565906,6.15,950354,10559,5844201,6.442,950354,10559,6122497,27850675.5,28128970.5,28407266.5,278295.0,0.9992396773284726,556591.0,1.9984829452341293
0,HU,ROSUVASTATIN-A (default),GEDEON RICHTER,XETER,HU3413,FILM TABS 40MG 30,30,Therapy fix,2815.05,37.52,5450730,181691,204511390,37.52,5752008,191734,215815348,39.396,5037095,167903,198441405,41.272,5009636,166988,206757681,755556144.7,671096745.1500001,676837250.4000001,-84459399.54999995,-11.178441224051625,-78718894.29999995,-10.418669062807497
0,HU,ROSUVASTATIN-A (default),APOTEX,ROSUTEC,HU2773,FILM TABS 10MG 30,30,Molecule fix,800.1,6.65,2979150,99305,19811348,6.65,3143147,104772,20901925,6.982,3143051,104768,21946355,7.315,3143051,104768,22991419,104730002.2,105771231.8,106816295.8,1041229.599999994,0.994203741170163,2086293.599999994,1.9920687063634896
0,HU,ROSUVASTATIN-A (default),APOTEX,ROSUTEC,HU3069,FILM TABS 20MG 30,30,Therapy fix,1770.3,18.165,1929420,64314,35047914,18.165,2008388,66946,36482361,19.073,1181158,39372,22528531,19.982,1181158,39372,23601318,154996864.8,92228782.6,93301569.6,-62768082.20000002,-40.49635602693817,-61695295.20000002,-39.80422138190244
0,HU,ROSUVASTATIN-A (default),GEDEON RICHTER,XETER,HU2788,FILM TABS 10MG 30,30,Molecule fix,680.4,28.98,10452330,348411,302908523,28.98,11013195,367106,319162388,30.429,11013195,367106,335120508,31.878,11013195,367106,351078627,568941310.4,584899430.4,600857549.4,15958120.0,2.8048798194633613,31916239.0,5.6097594631616685
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU2901,FILM TABS 15MG 30,30,Therapy fix,1328.25,18.935,5410260,180342,102443273,18.935,5540345,184678,104906435,19.882,5543264,184775,110209783,20.828,5543264,184775,115457868,350204988.5,355637176.75,360885261.75,5432188.25,1.5511453087139562,10680273.25,3.049720478210721
0,HU,ROSUVASTATIN-A (default),TEVA,ROZUVA-TEVA,HU3402,FILM TABS 40MG 30,30,Therapy fix,2815.05,29.82,2243790,74793,66909818,29.82,2325438,77515,69344549,31.311,2325438,77515,72811777,32.802,2325391,77513,76277460,287553149.75,291020377.75,294480430.65,3467228.0,1.2057694388026783,6927280.899999976,2.409043651937941
0,HU,ROSUVASTATIN-A (default),SANDOZ,ROSUVASTATIN SANDO,HU2810,FILM TABS 10MG 60,60,Molecule fix,1600.2,10.92,1584600,26410,17303832,10.92,1746289,29105,19069477,11.466,1746289,29105,20022951,12.012,1746289,29105,20976425,65643298.0,66596772.0,67550246.0,953474.0,1.4525077640066164,1906948.0,2.905015528013233
0,HU,ROSUVASTATIN-A (default),GEDEON RICHTER,XETER,HU2904,FILM TABS 15MG 30,30,Therapy fix,1227.45,10.22,2488530,82951,25432777,10.22,2825444,94181,28876033,10.731,2980326,99344,31981879,11.242,2980326,99344,33504826,144478501.45,153921671.8,155444618.8,9443170.350000024,6.536038410716798,10966117.350000024,7.590137799010252
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU3071,FILM TABS 20MG 30,30,Therapy fix,1770.3,15.96,3461490,115383,55245380,15.96,2900555,96685,46292853,16.758,2836441,94548,47533077,17.556,2824415,94147,49585425,217454308.5,214911401.4,216253859.1,-2542907.099999994,-1.1693983520220728,-1200449.400000006,-0.5520467303134654
0,HU,ROSUVASTATIN-A (default),KRKA,ROXERA,HU3656,FILM TABS 5MG 30,30,80%,140.7,15.855,2296920,76564,36417667,15.855,2374805,79160,37652527,16.648,3222308,107410,53644179,17.44,3172054,105735,55322215,48790339.0,68756766.0,70199129.5,19966427.0,40.922910988587304,21408790.5,43.87915915074909
0,HU,METOPROLOL-B (default),1A PHARMA,METOPROLOL Z 1APHA,HU3856,FILM TABS LA 25MG 30,30,80%,454.65,3.815,2039790,67993,7781799,3.815,1786133,59538,6814096,4.006,1786133,59538,7154801,4.196,1786133,59538,7495506,33883047.7,34223752.7,34564457.7,340705.0,1.005532332913488,681410.0,2.011064665826976
0,HU,METOPROLOL-B (default),1A PHARMA,METOPROLOL Z 1APHA,HU3870,FILM TABS LA 50MG 30,30,80%,436.8,3.64,7679490,255983,27953344,3.64,7175588,239186,26119140,3.822,4594984,153166,17562030,4.004,4594984,153166,18398318,130595584.8,84464938.80000001,85301226.80000001,-46130645.999999985,-35.32328146517859,-45294357.999999985,-34.68291678418212
0,HU,METOPROLOL-B (default),RECORDATI IRELAND,BETALOC ZOK,HU6111,TABS L.A 100MG 30,30,Not reimbursed,0.0,69.545,2957670,98589,204564999,69.545,2875579,95853,199982175,73.022,2875579,95853,209981283,76.5,2875579,95853,219980392,199982175.0,209981283.0,219980392.0,9999108.0,4.999999624966575,19998217.0,9.999999749977718
0,HU,METOPROLOL-B (default),RECORDATI IRELAND,BETALOC ZOK,HU6139,TABS L.A 50MG 30,30,Not reimbursed,0.0,43.295,25644420,854814,1104569011,43.295,25119817,837327,1087562459,45.46,25116210,837207,1141776619,47.624,13719727,457324,653395161,1087562459.0,1141776619.0,653395161.0,54214160.0,4.984923813005575,-434167298.0,-39.92113688801022
0,HU,METOPROLOL-B (default),SANDOZ,METOPROLOL Z HEXAL,HU3857,FILM TABS LA 25MG 30,30,80%,454.65,3.815,3086070,102869,11773357,3.815,5307697,176923,20248862,4.006,5307697,176923,21261305,4.196,5307697,176923,22273749,100686903.95,101699346.95,102711790.95,1012443.0,1.005535933951021,2024887.0,2.0110728610798643
0,HU,METOPROLOL-B (default),SANDOZ,METOPROLOL Z HEXAL,HU3839,FILM TABS LA 100MG 30,30,80%,718.2,5.95,5857950,195265,34854802,5.95,5226225,174208,31096042,6.248,5226225,174208,32650844,6.545,5226225,174208,34205646,156212227.60000002,157767029.60000002,159321831.60000002,1554802.0,0.9953138905241499,3109604.0,1.9906277810482997
0,HU,METOPROLOL-B (default),RECORDATI IRELAND,BETALOC ZOK,HU6128,TABS L.A 25MG 28,28,Not reimbursed,0.0,62.962,5985224,213758,376591491,62.962,5150342,183941,324278436,66.111,4940697,176453,326632540,69.259,4919096,175682,340690414,324278436.0,326632540.0,340690414.0,2354104.0,0.7259514474776855,16411978.0,5.06107596991124
0,HU,METOPROLOL-B (default),1A PHARMA,METOPROLOL Z 1APHA,HU3838,FILM TABS LA 100MG 30,30,80%,718.2,5.95,1459290,48643,8682776,5.95,1209809,40327,7198362,6.248,1209809,40327,7558280,6.545,1209809,40327,7918198,36161213.400000006,36521131.400000006,36881049.400000006,359918.0,0.9953150521215639,719836.0,1.9906301042431278
0,HU,METOPROLOL-B (default),SANDOZ,METOPROLOL Z HEXAL,HU3871,FILM TABS LA 50MG 30,30,80%,436.8,3.64,16480950,549365,59990658,3.64,22938471,764616,83496034,3.822,14209462,473649,54308563,4.004,14209462,473649,56894686,417480302.8,261198446.20000002,263784569.20000002,-156281856.6,-37.43454614549063,-153695733.6,-36.81508626135834
0,RU,GRANDAXIN EXTENDED,PHARMPROEKT RF,HYDROXYZINE,RU164543,FILM C.TABS 25MG 25,25,EDL,,4.803,1844475,73779,11930739,4.803,9839799,393592,47261810,5.043,9839799,393592,49624900,5.283,9839799,393592,51987991,,,,,,,
0,RU,GRANDAXIN EXTENDED,SOTEX,ANVIFEN,RU85053,CAPS 250MG 20,20,non EDL,,23.059,6685620,334281,150415983,23.059,4906160,245308,113132158,24.212,4906160,245308,118788766,25.365,4906160,245308,124445374,,,,,,,
0,RU,GRANDAXIN EXTENDED,EGIS,SPITOMIN,RU120899,TABS 10MG 60,60,non EDL,,14.791,2658960,44316,40611734,14.791,3215795,53597,47565542,15.531,3215795,53597,49943819,16.27,3848597,64143,62618003,,,,,,,
0,RU,GRANDAXIN EXTENDED,VERTEX ZAO RF,HYDROXYZINE-VERTEX,RU164827,FILM C.TABS 25MG 30,30,EDL,,4.899,133350,4445,657046,4.899,2051059,68369,10048551,5.144,2051059,68369,10550979,5.389,2051059,68369,11053407,,,,,,,
0,RU,GRANDAXIN EXTENDED,BELMEDPREP BEL,PHENYBUT,RU51838,TABS 250MG 20,20,non EDL,,6.395,37543360,1877168,231637224,6.395,30826668,1541333,197137148,6.715,30826668,1541333,206994005,7.035,31823829,1591191,223865416,,,,,,,
0,RU,GRANDAXIN EXTENDED,VALENTA PHARMACEUT,TERALYGEN VALENTA,RU77422,FILM C.TABS 5MG 25,25,non EDL,,29.199,6541850,261674,182949502,29.199,6432275,257291,187812868,30.658,6432275,257291,197203512,32.118,6432275,257291,206594155,,,,,,,
0,RU,GRANDAXIN EXTENDED,USOLIE-SIBIR.HFKRF,PHENYBUT,RU149175,TABS 250MG 10,10,non EDL,,8.6,458910,45891,3709078,8.6,467299,46730,4018640,9.03,502743,50274,4539624,9.46,502743,50274,4755796,,,,,,,
0,RU,GRANDAXIN EXTENDED,MOSCOVSK.ENDOCR.ZD,PHENYBUT,RU56985,TABS 250MG 20,20,non EDL,,16.32,7300800,365040,126660278,16.32,9215383,460769,150390870,17.136,9215383,460769,157910413,17.952,9215383,460769,165429957,,,,,,,
0,RU,GRANDAXIN EXTENDED,PATENT-FARM RF,PHENYBUT-LEKT,RU150204,TABS 250MG 20,20,non EDL,,5.044,7987880,399394,41576843,5.044,14656359,732818,73924272,5.296,14656359,732818,77620485,5.548,14618886,730944,81108790,,,,,,,
0,RU,GRANDAXIN EXTENDED,UCB,ATARAX,RU29059,FILM C.TABS 25MG 25,25,EDL,,5.935,56200700,2248028,662278342,5.935,23843512,953740,141520468,6.232,23843512,953740,148596492,6.529,23843512,953740,155672515,,,,,,,
0,RU,GRANDAXIN EXTENDED,EGIS,GRANDAXIN,RU22172,TABS 50MG 20,20,non EDL,,20.332,9295120,464756,193582772,20.332,11335842,566792,230485365,21.349,11153526,557676,238117361,22.366,11153526,557676,249456283,,,,,,,
0,RU,GRANDAXIN EXTENDED,SOTEX,ANVIFEN,RU85052,CAPS 50MG 20,20,non EDL,,13.172,2857200,142860,37093061,13.172,2965880,148294,39067049,13.831,2965880,148294,41020402,14.489,2965880,148294,42973754,,,,,,,
0,RU,GRANDAXIN EXTENDED,OLAINFARM AS,PHENYBUT,RU34058,TABS 250MG 20,20,non EDL,,29.869,27289500,1364475,817996598,29.869,10103740,505187,301792640,31.363,10103740,505187,316882272,32.856,10103740,505187,331971904,,,,,,,
0,RU,GRANDAXIN EXTENDED,UNIDENTIFIED MANUF,PHENYBUT,RU49277,TABS 250MG 20,20,non EDL,,7.601,1405980,70299,13575887,7.601,1681708,84085,12782851,7.981,1681708,84085,13421993,8.361,1681708,84085,14061136,,,,,,,
0,RU,GRANDAXIN EXTENDED,EGIS,GRANDAXIN,RU75460,TABS 50MG 60,60,non EDL,,15.716,41467920,691132,673429963,15.716,30745981,512433,483208411,16.502,30745981,512433,507368832,17.288,30745981,512433,531529252,,,,,,,
0,RU,GRANDAXIN EXTENDED,BIOCOM ZAO RF,TOFISOPAM,RU167583,TABS 50MG 60,60,non EDL,,10.526,1177320,19622,12441085,10.526,2446907,40782,25754998,11.052,2446907,40782,27042748,11.578,2477131,41286,28680439,,,,,,,
0,RU,GRANDAXIN EXTENDED,BIOCODEX,STRESAM,RU81750,CAPS 50MG 24,24,non EDL,,29.015,2178384,90766,60676733,29.015,2382932,99289,69139602,30.465,2382932,99289,72596582,31.916,2382932,99289,76053563,,,,,,,
0,RU,GRANDAXIN EXTENDED,VERTEX ZAO RF,PHENYBUT,RU157307,TABS 250MG 20,20,non EDL,,15.253,424080,21204,6157998,15.253,2599389,129969,39647513,16.015,2599389,129969,41629889,16.778,2599389,129969,43612264,,,,,,,
0,RU,GRANDAXIN EXTENDED,TATHIMFARM PREP.RF,MEBICAR,RU72475,TABS 300MG 20,20,non EDL,,17.916,3113120,155656,57461791,17.916,3097277,154864,55490781,18.812,3097277,154864,58265320,19.708,3097277,154864,61039859,,,,,,,
0,RU,GRANDAXIN EXTENDED,BELMEDPREP BEL,PHENYBUT,RU58084,TABS 250MG 10,10,non EDL,,7.421,1590630,159063,12072271,7.421,1434192,143419,10643660,7.792,1434192,143419,11175843,8.164,1434192,143419,11708026,,,,,,,
0,RU,GRANDAXIN EXTENDED,USOLIE-SIBIR.HFKRF,PHENYBUT,RU124005,TABS 250MG 20,20,non EDL,,6.745,34498640,1724932,231913343,6.745,30639662,1531983,206650750,7.082,30525715,1526286,216176336,7.419,29910722,1495536,221907811,,,,,,,
0,RU,GRANDAXIN EXTENDED,BIOCOM ZAO RF,TOFISOPAM,RU167584,TABS 50MG 20,20,non EDL,,14.303,316780,15839,4542842,14.303,4227553,211378,60465104,15.018,4227553,211378,63488360,15.733,4227553,211378,66511615,,,,,,,
0,RU,GRANDAXIN EXTENDED,OZON OOO,PHENYBUT,RU84660,TABS 250MG 20,20,non EDL,,14.16,22057200,1102860,307190194,14.16,11728990,586449,166079182,14.868,11728990,586449,174383141,15.576,11728990,586449,182687100,,,,,,,
0,RU,GRANDAXIN EXTENDED,OBNINSK OCFK,PHENYBUT,RU136995,TABS 250MG 50,50,non EDL,,7.749,1266350,25327,9795532,7.749,1964678,39294,15224545,8.137,1964678,39294,15985772,8.524,1964678,39294,16746999,,,,,,,
0,RU,GRANDAXIN EXTENDED,OLAINFARM AS,NOOPHEN,RU103522,CAPS 250MG 20,20,non EDL,,56.152,723620,36181,42344400,56.152,1437169,71858,80699894,58.96,1437169,71858,84734888,61.767,1437169,71858,88769883,,,,,,,
0,RU,GRANDAXIN EXTENDED,OLAINFARM AS,ADAPTOL,RU76013,TABS 500MG 20,20,non EDL,,39.287,11292260,564613,462306575,39.287,10729689,536484,421537670,41.251,10729689,536484,442614553,43.216,10729689,536484,463691437,,,,,,,
0,RU,GRANDAXIN EXTENDED,UNIDENTIFIED MANUF,PHENYBUT,RU81456,TABS 250MG 10,10,non EDL,,7.801,665730,66573,5249588,7.801,716010,71601,5585655,8.191,716010,71601,5864938,8.581,716335,71634,6147008,,,,,,,
0,RU,GRANDAXIN EXTENDED,SORBENT TOO,PHENYBUT-S,RU166592,TABS 250MG 30,30,non EDL,,14.971,433710,14457,6666011,14.971,557841,18595,8351591,15.72,603004,20100,9479119,16.468,607085,20236,9997710,,,,,,,
0,RU,GRANDAXIN EXTENDED,TATHIMFARM PREP.RF,MEBICAR,RU99205,TABS 500MG 20,20,non EDL,,29.57,2146880,107344,65699566,29.57,1775255,88763,52493517,31.048,1775255,88763,55118193,32.527,1775255,88763,57742868,,,,,,,
0,RU,GRANDAXIN EXTENDED,AKRIKHIN RF,PHENYBUT-AKRIKHIN,RU157380,TABS 250MG 20,20,non EDL,,12.095,1251120,62556,14698782,12.095,1333456,66673,16127726,12.699,1333456,66673,16934113,13.304,1312332,65617,17459469,,,,,,,
0,RU,GRANDAXIN EXTENDED,ORGANIKA PHFO RF,PHENYBUT,RU90671,TABS 250MG 20,20,non EDL,,10.372,3283440,164172,30550447,10.372,3422429,171121,35496994,10.89,3422429,171121,37271843,11.409,3438440,171922,39229362,,,,,,,
0,RU,GRANDAXIN EXTENDED,VALENTA PHARMACEUT,TERALYGEN VALENTA,RU158065,FILM C.TABS 5MG 100,100,non EDL,,16.027,5733900,57339,92757923,16.027,8154895,81549,130696365,16.828,8210082,82101,138159884,17.629,8610141,86101,151791735,,,,,,,
0,RU,GRANDAXIN EXTENDED,CANONPHARMA PRODUC,HYDROXYZINE CANON,RU122808,FILM C.TABS 25MG 25,25,EDL,,4.243,2166700,86668,14522302,4.243,1430227,57209,6068355,4.455,1425003,57000,6348500,4.667,1430019,57201,6674222,,,,,,,
0,RU,GRANDAXIN EXTENDED,VALENTA PHARMACEUT,TERALYGEN VALENTA,RU77423,FILM C.TABS 5MG 50,50,non EDL,,19.028,30229550,604591,569955371,19.028,27155905,543118,516735255,19.98,27155905,543118,542572017,20.931,27155905,543118,568408780,,,,,,,
0,RU,GRANDAXIN EXTENDED,OBNINSK OCFK,PHENYBUT,RU121071,TABS 250MG 20,20,non EDL,,10.09,489040,24452,4573648,10.09,4958498,247925,50031664,10.595,4958498,247925,52533247,11.099,4958498,247925,55034830,,,,,,,
0,RU,GRANDAXIN EXTENDED,BIOCODEX,STRESAM,RU83106,CAPS 50MG 60,60,non EDL,,21.114,7701180,128353,145148121,21.114,8572775,142880,181003693,22.169,8572775,142880,190053878,23.225,8572775,142880,199104062,,,,,,,
0,RU,NITROMINT,EGIS,NITROMINT,RU28097,SPR.DOS.SUBL .4MG 1DS 180 10G,180,EDL,,0.909,75286440,418258,68643197,0.909,73081485,406008,66442532,0.955,73689935,409389,70345493,1.0,73689935,409389,73695279,,,,,,,
